Strike,Moneyness (K/F),Market Vol (%),SABR Model Vol (%),Vol Diff (bps)
1870.0,0.9396984924623115,20.9055,21.41736957243942,51.186957243942175
1875.0,0.9422110552763819,20.6866,21.15561067290915,46.90106729091509
1880.0,0.9447236180904522,20.5835,20.894198299124554,31.069829912455383
1885.0,0.9472361809045227,20.4329,20.633187823392642,20.028782339264197
1890.0,0.949748743718593,20.2365,20.37264211694977,13.614211694976952
1895.0,0.9522613065326633,19.9957,20.112632467532485,11.69324675324851
1900.0,0.9547738693467337,19.711100000000002,19.85323960996717,14.21396099671679
1905.0,0.957286432160804,19.7293,19.594554882329813,-13.474511767018749
1910.0,0.9597989949748744,19.4196,19.336681520881815,-8.291847911818529
1915.0,0.9623115577889447,19.131,19.07973610733321,-5.12638926667891
1920.0,0.964824120603015,18.926299999999998,18.823850181845668,-10.244981815433206
1925.0,0.9673366834170855,18.7348,18.569172034320356,-16.562796567964334
1930.0,0.9698492462311558,18.4239,18.315868684592786,-10.803131540721434
1935.0,0.9723618090452262,18.2529,18.064128058749475,-18.877194125052622
1940.0,0.9748743718592965,18.0241,17.814161363334904,-20.993863666509682
1945.0,0.9773869346733668,17.8007,17.566205651029694,-23.449434897030443
1950.0,0.9798994974874372,17.5154,17.32052655960122,-19.48734403987823
1955.0,0.9824120603015075,17.2967,17.077421189542072,-21.92788104579291
1960.0,0.9849246231155779,17.011200000000002,16.837221063701264,-17.397893629873817
1965.0,0.9874371859296482,16.790399999999998,16.60029508322286,-19.010491677713958
1970.0,0.9899497487437185,16.497,16.367052357229646,-12.994764277035609
1975.0,0.992462311557789,16.267799999999998,16.137944738344892,-12.985526165510686
1980.0,0.9949748743718593,16.0335,15.91346884262618,-12.003115737382053
1985.0,0.9974874371859297,15.793099999999999,15.694167272575307,-9.89327274246915
1990.0,1.0,15.4639,15.480628699662166,1.672869966216628
1995.0,1.0025125628140703,15.290999999999999,15.273486405510933,-1.7513594489065865
2000.0,1.0050251256281406,15.1205,15.073414839745011,-4.708516025498932
2005.0,1.0075376884422111,14.8571,14.881123742937527,2.4023742937526182
2010.0,1.0100502512562815,14.6951,14.69734942412719,0.22494241271903137
2015.0,1.0125628140703518,14.457,14.522842893964604,6.584289396460441
2020.0,1.015075376884422,14.227500000000001,14.35835475314374,13.085475314373873
2025.0,1.0175879396984924,14.0736,14.204617027179541,13.10170271795419
2030.0,1.020100502512563,13.904,14.06232251004878,15.832251004878062
2035.0,1.0226130653266332,13.7582,13.932102592790002,17.39025927900012
2040.0,1.0251256281407035,13.5762,13.814504944522543,23.83049445225438
2045.0,1.0276381909547738,13.448599999999999,13.709972699584075,26.13726995840754
2050.0,1.0301507537688441,13.416900000000002,13.618826902380532,20.19269023805309
2055.0,1.0326633165829147,13.293800000000001,13.541253812976125,24.745381297612557
2060.0,1.035175879396985,13.263300000000001,13.477298272480082,21.39982724800815
2065.0,1.0376884422110553,13.3053,13.426863720031502,12.156372003150063
2070.0,1.0402010050251256,13.3717,13.389718747797188,1.8018747797188261
2075.0,1.0427135678391959,13.378300000000001,13.365509407673374,-1.2790592326628047
2080.0,1.0452261306532664,13.4287,13.353775962812737,-7.4924037187262815
2085.0,1.0477386934673367,13.270000000000001,13.353972484952003,8.397248495200238
2090.0,1.050251256281407,13.315,13.36548765267778,5.048765267778032
2095.0,1.0527638190954773,13.675699999999999,13.387665270686867,-28.8034729313133
2100.0,1.0552763819095476,13.6461,13.419823336403578,-22.62766635964225
2105.0,1.0577889447236182,13.7705,13.461270849144814,-30.922915085518643
2110.0,1.0603015075376885,14.1133,13.511321920028546,-60.19780799714547
