Strike,Moneyness (K/F),Market Vol (%),SABR Implied Vol (%),Vol Diff (bps)
1870.0,0.9396984924623115,20.9055,16.942967911737167,-396.25320882628324
1875.0,0.9422110552763819,20.6866,16.46815276837153,-421.84472316284666
1880.0,0.9447236180904522,20.5835,15.991120584285259,-459.237941571474
1885.0,0.9472361809045227,20.4329,15.511722049188137,-492.11779508118644
1890.0,0.949748743718593,20.2365,15.029798148001216,-520.6701851998782
1895.0,0.9522613065326633,19.9957,14.545179840831295,-545.0520159168703
1900.0,0.9547738693467337,19.711100000000002,14.057688011612775,-565.3411988387224
1905.0,0.957286432160804,19.7293,13.567133876523766,-616.2166123476235
1910.0,0.9597989949748744,19.4196,13.073320158551496,-634.6279841448504
1915.0,0.9623115577889447,19.131,12.576043523258948,-655.4956476741053
1920.0,0.964824120603015,18.926299999999998,12.075099084764606,-685.1200915235391
1925.0,0.9673366834170855,18.7348,11.570288323323329,-716.451167667667
1930.0,0.9698492462311558,18.4239,11.061432678157356,-736.2467321842646
1935.0,0.9723618090452262,18.2529,10.548396715760228,-770.4503284239772
1940.0,0.9748743718592965,18.0241,10.031127756836668,-799.2972243163333
1945.0,0.9773869346733668,17.8007,9.509724444450047,-829.0975555549953
1950.0,0.9798994974874372,17.5154,8.98455758584557,-853.0842414154431
1955.0,0.9824120603015075,17.2967,8.456488327873684,-884.0211672126318
1960.0,0.9849246231155779,17.011200000000002,7.927273619005344,-908.3926380994657
1965.0,0.9874371859296482,16.790399999999998,7.400343787003492,-939.0056212996508
1970.0,0.9899497487437185,16.497,6.882336580299311,-961.4663419700689
1975.0,0.992462311557789,16.267799999999998,6.386154469498287,-988.1645530501712
1980.0,0.9949748743718593,16.0335,5.936752476874817,-1009.6747523125182
1985.0,0.9974874371859297,15.793099999999999,5.57953629525109,-1021.3563704748908
1990.0,1.0,15.4639,5.380774994361571,-1008.312500563843
1995.0,1.0025125628140703,15.290999999999999,5.392282911197138,-989.8717088802861
2000.0,1.0050251256281406,15.1205,5.599311672185089,-952.1188327814912
2005.0,1.0075376884422111,14.8571,5.937820441922191,-891.927955807781
2010.0,1.0100502512562815,14.6951,6.3487514251132025,-834.6348574886797
2015.0,1.0125628140703518,14.457,6.795719077284579,-766.1280922715422
2020.0,1.015075376884422,14.227500000000001,7.2590846393758195,-696.8415360624182
2025.0,1.0175879396984924,14.0736,7.728512112334732,-634.5087887665268
2030.0,1.020100502512563,13.904,8.19851516327898,-570.548483672102
2035.0,1.0226130653266332,13.7582,8.666149661728102,-509.2050338271899
2040.0,1.0251256281407035,13.5762,9.129838694856279,-444.636130514372
2045.0,1.0276381909547738,13.448599999999999,9.588761653497189,-385.983834650281
2050.0,1.0301507537688441,13.416900000000002,10.042526459855205,-337.4373540144795
2055.0,1.0326633165829147,13.293800000000001,10.490987973757965,-280.2812026242035
2060.0,1.035175879396985,13.263300000000001,10.93414441631841,-232.915558368159
2065.0,1.0376884422110553,13.3053,11.372076814993198,-193.3223185006802
2070.0,1.0402010050251256,13.3717,11.804912893917518,-156.6787106082483
2075.0,1.0427135678391959,13.378300000000001,12.23280522808547,-114.54947719145319
2080.0,1.0452261306532664,13.4287,12.65591791368088,-77.27820863191181
2085.0,1.0477386934673367,13.270000000000001,13.074418422225031,-19.558157777496977
2090.0,1.050251256281407,13.315,13.488472660240488,17.347266024048956
2095.0,1.0527638190954773,13.675699999999999,13.898242035257136,22.254203525713667
2100.0,1.0552763819095476,13.6461,14.303881787979215,65.77817879792141
2105.0,1.0577889447236182,13.7705,14.7055401266197,93.50401266197017
2110.0,1.0603015075376885,14.1133,15.103357868751216,99.00578687512152
